IDs	length	Exptl.	resolution	R-factor	FreeRvalue
3Q87B	170	XRAY	2	0.2	0.26
2X7IA	308	XRAY	2.2	0.21	0.26
1XTTA	216	XRAY	1.8	0.19	0.23
2J1QA	357	XRAY	1.9	0.2	0.22
4OVMA	144	XRAY	2.72	0.22	0.26
5GQ0A	349	XRAY	2.31	0.19	0.23
4P3VA	90	XRAY	1.25	0.16	0.17
1PL5A	142	XRAY	2.5	0.26	0.29
2UYKA	129	XRAY	1.6	0.16	0.2
4PO4A	221	XRAY	2.5	0.21	0.25
4JO0A	534	XRAY	2.17	0.2	0.23
3B1SA	52	XRAY	2.55	0.24	0.26
5XG2A	260	XRAY	2	0.22	0.26
5IZ1A	337	XRAY	3	0.26	0.32
4BOHM	60	XRAY	2.59	0.19	0.24
4JVSA	310	XRAY	2.78	0.23	0.27
2RK3A	197	XRAY	1.05	0.13	0.15
1AD9A	219	XRAY	2.8	0.23	0.28
5E2FA	270	XRAY	1.3	0.13	0.15
4N0KA	108	XRAY	1.05	0.16	0.18
3TDSA	268	XRAY	1.98	0.18	0.2
4XS5A	143	XRAY	2.9	0.21	0.26
3CB7A	126	XRAY	1.9	0.19	0.26
1OA4A	222	XRAY	1.5	0.18	0.19
5M6PA	496	XRAY	2.6	0.25	0.29
3CEAA	346	XRAY	2.4	0.2	0.24
4Z39A	121	XRAY	1.3	0.13	0.16
4OC8A	388	XRAY	2.88	0.2	0.23
5V87A	162	XRAY	1.69	0.18	0.2
2GM3A	175	XRAY	2.46	0.22	0.26
2ID3A	225	XRAY	1.7	0.17	0.2
3NOKA	268	XRAY	1.65	0.2	0.24
2EB0A	307	XRAY	2.2	0.2	0.27
2BURA	209	XRAY	1.8	0.16	0.19
4BBJA	736	XRAY	2.75	0.2	0.25
3C6AA	232	XRAY	1.16	0.13	0.17
2QDLA	165	XRAY	2.2	0.2	0.23
3U4GA	337	XRAY	1.9	0.17	0.22
1QGNA	445	XRAY	2.9	0.2	0.25
3PVKA	342	XRAY	1.27	0.17	0.18
1B7GO	340	XRAY	2.05	0.23	0.29
4FQDA	479	XRAY	2.5	0.2	0.23
1G43A	160	XRAY	2.2	0.19	0.26
3AOTA	227	XRAY	2.2	0.23	0.26
2FNUA	375	XRAY	1.5	0.15	0.18
2GDMA	153	XRAY	1.7	0.16	1
5IDKA	230	XRAY	1.5	0.16	0.19
3TMAA	354	XRAY	2.05	0.16	0.21
2IX4A	431	XRAY	1.95	0.2	0.22
4BQYA	252	XRAY	1.53	0.21	0.23
5EGHA	429	XRAY	1.8	0.18	0.21
1KMMA	424	XRAY	2.6	0.22	0.3
5B3DA	140	XRAY	2.3	0.21	0.24
2MPRA	427	XRAY	2.4	0.19	0.22
6AQ7H	214	XRAY	1.83	0.2	0.23
5IQNA	132	XRAY	1	0.12	0.15
1YB3A	175	XRAY	1.6	0.2	0.23
2PMPA	160	XRAY	2.3	0.2	0.25
3OG6A	196	XRAY	2.1	0.18	0.23
5EFRA	446	XRAY	2	0.21	0.23
1M3SA	186	XRAY	1.95	0.19	0.23
2I6LA	320	XRAY	2.25	0.22	0.27
2X9KA	280	XRAY	2.18	0.21	0.25
2QU8A	228	XRAY	2.01	0.23	0.26
2QZUA	491	XRAY	1.7	0.2	0.22
4QLZA	287	XRAY	2.33	0.21	0.27
4P6DA	237	XRAY	1.59	0.17	0.2
2Q40A	367	XRAY	1.7	0.17	0.22
2XW9A	228	XRAY	1.2	0.14	0.18
2Z00A	426	XRAY	2.42	0.19	0.19
2BW3A	534	XRAY	2	0.18	0.21
4FFKA	223	XRAY	1.76	0.2	0.24
4PDYA	351	XRAY	1.35	0.13	0.17
2I9EA	259	XRAY	2	0.22	0.24
3ONRA	72	XRAY	1.8	0.18	0.23
3SJMA	64	XRAY	1.35	0.17	0.21
5IN2A	158	XRAY	1.55	0.16	0.18
3KHTA	144	XRAY	2.1	0.23	0.29
1B5LA	172	XRAY	2.1	0.21	0.25
5ELBA	103	XRAY	1.08	0.12	0.15
2I6EA	301	XRAY	2.5	0.2	0.23
3D7AA	138	XRAY	1.9	0.24	0.28
5KSPA	190	XRAY	2.16	0.2	0.24
6CE2A	121	XRAY	2.15	0.22	0.25
1YBDA	239	XRAY	2.6	0.21	0.26
5ORGA	263	XRAY	1.99	0.2	0.22
3NZPA	619	XRAY	3	0.19	0.22
2OR0A	414	XRAY	2.1	0.19	0.22
5FHKA	207	XRAY	1.91	0.21	0.25
5BVRA	236	XRAY	1.46	0.16	0.19
5EY6A	217	XRAY	1.9	0.2	0.23
4DTEA	374	XRAY	1.96	0.17	0.22
3O3MA	408	XRAY	1.82	0.17	0.22
4K7XA	333	XRAY	1.75	0.14	0.16
4PS6A	130	XRAY	1.25	0.12	0.16
1YWKA	289	XRAY	2.95	0.24	0.27
6CDDA	474	XRAY	2.58	0.19	0.23
5ES6A	685	XRAY	2.46	0.22	0.25
1QQLA	140	XRAY	2.3	0.26	0.33
3FEAA	100	XRAY	1.33	0.19	0.21
5AJJA	168	XRAY	1.75	0.17	0.21
1T1UA	639	XRAY	1.55	0.17	0.23
3RY4A	170	XRAY	1.5	0.2	0.23
3ERRA	536	XRAY	2.27	0.2	0.25
5CDDA	208	XRAY	2.7	0.24	0.25
5D8XA	158	XRAY	1.5	0.15	0.17
2WOLA	562	XRAY	1.45	0.19	0.2
1W18A	493	XRAY	2.5	0.2	0.25
3ZK4A	571	XRAY	1.65	0.15	0.17
4I6MA	477	XRAY	2.8	0.19	0.22
1UYWH	218	XRAY	2	0.2	0.22
3FKYA	370	XRAY	2.95	0.23	0.26
2YK4A	327	XRAY	1.94	0.2	0.22
3UGCA	295	XRAY	1.34	0.18	0.19
2BRXA	244	XRAY	2.4	0.2	0.24
5XWEA	83	XRAY	1.8	0.26	0.28
3GK8L	214	XRAY	2	0.27	0.31
2WIIC	277	XRAY	2.7	0.22	0.25
5NF4A	451	XRAY	1.75	0.15	0.18
4IKGA	81	XRAY	1.93	0.29	0.31
1ESCA	306	XRAY	2.1	0.17	1
2HF0A	316	XRAY	2.3	0.19	0.23
3DWOX	451	XRAY	2.2	0.21	0.25
2F37A	251	XRAY	1.7	0.21	0.23
5DJ4A	480	XRAY	2.7	0.2	0.22
1VBJA	281	XRAY	2.1	0.21	0.26
6FMRA	483	XRAY	2.7	0.23	0.25
4XT1A	362	XRAY	2.89	0.2	0.25
1SG6A	393	XRAY	1.7	0.25	0.25
1CC8A	73	XRAY	1.02	0.14	0.17
6EIBA	163	XRAY	1.94	0.2	0.24
2ISSD	208	XRAY	2.9	0.26	0.24
4LOBA	347	XRAY	2	0.2	0.27
2XI7A	184	XRAY	2.2	0.19	0.22
1EYXB	177	XRAY	2.25	0.18	0.28
3TERA	136	XRAY	2.55	0.2	0.26
3VCZA	153	XRAY	1.8	0.16	0.18
3N2LA	238	XRAY	2.1	0.22	0.27
4DNAA	463	XRAY	2.8	0.21	0.27
3K6JA	460	XRAY	2.2	0.21	0.27
5MW5A	293	XRAY	2.7	0.23	0.26
1EIAA	207	XRAY	2.7	0.23	0.28
6CA6A	214	XRAY	2.43	0.2	0.24
1MHQA	148	XRAY	2.2	0.22	0.27
4ZP0A	392	XRAY	2	0.21	0.23
3GA2A	246	XRAY	2.1	0.2	0.24
2C1SA	126	XRAY	1.75	0.2	0.23
1YT3A	375	XRAY	1.6	0.2	0.22
4M52A	466	XRAY	2.4	0.17	0.22
5YRZA	152	XRAY	2.3	0.21	0.24
1WOSA	364	XRAY	1.84	0.22	0.25
5JVMA	82	XRAY	1.57	0.18	0.2
1UWXH	225	XRAY	2.2	0.23	0.27
3O63A	243	XRAY	2.35	0.21	0.26
1GO4E	100	XRAY	2.05	0.24	0.27
1WDCB	156	XRAY	2	0.19	0.28
5IBKB	63	XRAY	2.5	0.2	0.24
6COJB	253	XRAY	1.4	0.15	0.17
5LOZA	137	XRAY	1.95	0.19	0.24
5I8KL	217	XRAY	1.77	0.18	0.21
1V53A	366	XRAY	2.85	0.21	0.25
2EG5A	372	XRAY	2.2	0.23	0.28
1Y44A	320	XRAY	2.1	0.21	0.25
1AYOA	130	XRAY	1.9	0.2	0.24
2XAPA	761	XRAY	2.1	0.2	0.23
4LS6A	426	XRAY	1.56	0.15	0.17
4JQ9A	474	XRAY	2.17	0.18	0.21
3SG1A	458	XRAY	2.6	0.18	0.26
2ZKMX	799	XRAY	1.62	0.2	0.21
4NBQA	715	XRAY	2.91	0.21	0.26
1RIFA	282	XRAY	2	0.22	0.25
5J56B	129	XRAY	1.8	0.17	0.21
3DO8A	148	XRAY	1.6	0.17	0.21
2BLLA	345	XRAY	2.3	0.19	0.23
3DUWA	223	XRAY	1.2	0.22	0.23
1VYVA	359	XRAY	3	0.25	0.29
3MDPA	142	XRAY	1.9	0.18	0.23
4BP8A	715	XRAY	2.4	0.19	0.24
3I47A	268	XRAY	1.58	0.17	0.18
5TECA	174	XRAY	2.2	0.18	0.22
4Y6WA	229	XRAY	1.59	0.18	0.2
5LBHA	145	XRAY	2.55	0.19	0.25
3FFDA	218	XRAY	2	0.22	0.27
5GGSB	218	XRAY	2	0.18	0.23
2OMOA	124	XRAY	1.83	0.19	0.23
2WAAA	347	XRAY	1.8	0.16	0.18
6APHA	445	XRAY	1.65	0.15	0.17
3BCQA	142	XRAY	2.4	0.17	0.28
4XVOA	223	XRAY	2.6	0.2	0.24
2WB0X	356	XRAY	1.95	0.19	0.24
5MB2B	504	XRAY	1.75	0.2	0.23
4TW1B	324	XRAY	2.8	0.24	0.29
5IPXA	324	XRAY	2.4	0.21	0.25
2XPPA	145	XRAY	1.74	0.2	0.23
1L9XA	315	XRAY	1.6	0.18	0.2
3UEBA	110	XRAY	1.98	0.21	0.25
3T94A	270	XRAY	1.45	0.17	0.18
3HA4A	154	XRAY	2.4	0.21	0.26
1Y2IA	133	XRAY	2.3	0.2	0.26
4UT7L	153	XRAY	1.7	0.16	0.19
1UZ5A	402	XRAY	2.05	0.22	0.25
3I7UA	134	XRAY	1.8	0.2	0.24
5FVKA	82	XRAY	1.66	0.19	0.22
3OE3A	98	XRAY	1.51	0.21	0.24
2C9KA	612	XRAY	2.8	0.2	0.26
5IZ5A	814	XRAY	2.2	0.22	0.24
3E0EA	97	XRAY	1.6	0.23	0.27
4BMAA	509	XRAY	2.08	0.21	0.27
3IJDA	315	XRAY	2	0.22	0.27
4R25A	114	XRAY	2.52	0.22	0.26
3OT5A	403	XRAY	2.2	0.19	0.23
1TW9A	206	XRAY	1.71	0.18	0.23
3ITQA	216	XRAY	1.4	0.2	0.21
5JAZA	422	XRAY	1.4	0.19	0.21
1IBYA	112	XRAY	1.65	0.19	0.22
3WA1A	389	XRAY	1.75	0.17	0.21
2ZHJA	322	XRAY	1.35	0.14	0.2
3N3YA	216	XRAY	2.31	0.18	0.22
2OP4H	222	XRAY	2.85	0.2	0.26
5FKTA	733	XRAY	1.52	0.17	0.19
2FNOA	248	XRAY	2	0.18	0.22
5TE0A	347	XRAY	1.9	0.18	0.2
3S2EA	340	XRAY	1.76	0.17	0.19
3GAAA	252	XRAY	2.7	0.2	0.26
5BTBA	376	XRAY	1.8	0.19	0.23
4OWKA	138	XRAY	2	0.16	0.19
3SHGA	205	XRAY	1.5	0.18	0.21
3CG6A	146	XRAY	1.7	0.23	0.27
1DBTA	239	XRAY	2.4	0.19	0.23
3O1CA	126	XRAY	1.08	0.13	0.16
3BGYA	237	XRAY	1.65	0.18	0.21
2IZWA	234	XRAY	2.9	0.29	1
3G9WC	52	XRAY	2.17	0.21	0.25
1K2WA	256	XRAY	2.4	0.19	0.24
1FH0A	221	XRAY	1.6	0.2	0.21
5FAIA	232	XRAY	1.8	0.17	0.18
2XY4A	288	XRAY	1.71	0.21	0.24
4C9LA	421	XRAY	1.8	0.15	0.18
1DS1A	324	XRAY	1.08	0.14	0.17
3GNEA	252	XRAY	1.2	0.13	0.18
3P0CA	130	XRAY	2.27	0.17	0.21
5BV3A	345	XRAY	2.25	0.22	0.25
5Z2EA	265	XRAY	1.8	0.16	0.19
4Z3XA	653	XRAY	1.85	0.19	0.23
1G57A	217	XRAY	1.4	0.18	0.22
2CDQA	510	XRAY	2.85	0.2	0.24
4BS6A	225	XRAY	1.2	0.12	0.15
5IR4A	688	XRAY	1.48	0.14	0.15
2IBOA	104	XRAY	2.8	0.25	0.28
3H6NA	127	XRAY	2	0.24	0.28
3ZMSC	509	XRAY	2.96	0.21	0.23
4MPSA	310	XRAY	2.4	0.2	0.26
2ADFH	218	XRAY	1.9	0.19	0.22
1LGPA	116	XRAY	2	0.23	0.29
4ZQEA	432	XRAY	1.98	0.17	0.2
5XS9A	205	XRAY	1.9	0.18	0.23
2CTHA	107	XRAY	1.67	0.16	0.19
2YV4A	105	XRAY	2	0.21	0.25
4OB0A	210	XRAY	1.2	0.15	0.19
1ZBOA	210	XRAY	2.6	0.24	0.3
3E3RA	204	XRAY	2.65	0.23	0.28
3US6A	153	XRAY	1.45	0.17	0.19
2A19A	175	XRAY	2.5	0.23	0.29
6DENA	682	XRAY	1.81	0.16	0.18
3OC7A	267	XRAY	1.5	0.17	0.18
2ZPAA	671	XRAY	2.35	0.23	0.27
3CS1A	219	XRAY	2	0.22	0.29
2A9ML	110	XRAY	2.1	0.21	0.26
2Q8AH	210	XRAY	2.4	0.2	0.24
3F4WA	211	XRAY	1.65	0.21	0.25
2D2RA	245	XRAY	1.88	0.19	0.24
4FDDA	852	XRAY	2.3	0.28	0.24
2ATMA	331	XRAY	2	0.19	0.21
5U2GA	838	XRAY	2.61	0.18	0.22
2PA8D	265	XRAY	1.76	0.21	0.25
2P9TA	416	XRAY	2	0.22	0.27
1M93B	245	XRAY	1.65	0.19	0.24
3PFDA	393	XRAY	2.1	0.17	0.21
3EJ9A	76	XRAY	1.5	0.21	0.25
4HJIA	175	XRAY	1.6	0.22	0.25
5OWUA	861	XRAY	2	0.18	0.22
2P5VA	162	XRAY	1.99	0.18	0.24
1KUFA	203	XRAY	1.35	0.25	0.2
3KFUF	466	XRAY	3	0.2	0.25
3TSVA	124	XRAY	1.99	0.27	0.32
2YD1A	212	XRAY	1.8	0.18	0.22
1SQSA	242	XRAY	1.5	0.2	0.22
3P52A	249	XRAY	2.74	0.21	0.24
3FP3A	537	XRAY	1.98	0.19	0.23
4EYEA	342	XRAY	2.1	0.19	0.23
3B1FA	290	XRAY	2.1	0.2	0.23
1WWMA	190	XRAY	2.61	0.23	0.28
5AOXB	94	XRAY	2.04	0.19	0.22
1IFRA	121	XRAY	1.4	0.22	1
5CL8A	241	XRAY	1.38	0.13	0.16
1WDJA	187	XRAY	2	0.19	0.24
5C2UA	143	XRAY	1.55	0.18	0.2
1J9LA	247	XRAY	1.9	0.2	0.24
1AZWA	313	XRAY	2.7	0.19	0.25
3S3EA	307	XRAY	2.4	0.21	0.23
3A0OA	776	XRAY	2.11	0.18	0.22
4O1HA	139	XRAY	2.8	0.22	0.27
1EEPA	404	XRAY	2.4	0.21	0.26
1H3OA	75	XRAY	2.3	0.23	0.27
3FNCA	163	XRAY	1.75	0.17	0.2
4ANOA	219	XRAY	1.7	0.21	0.25
2YVPA	182	XRAY	1.66	0.19	0.2
2BCOA	350	XRAY	2.33	0.21	0.27
5IROD	108	XRAY	2.64	0.26	0.29
1F2TA	149	XRAY	1.6	0.19	0.23
6BK9A	380	XRAY	3	0.29	0.34
4LDAA	131	XRAY	2.4	0.2	0.23
1EFDN	266	XRAY	1.9	0.22	0.25
4F8KA	109	XRAY	1.7	0.19	0.22
2W7WA	194	XRAY	1.7	0.21	0.24
2R6JA	318	XRAY	1.5	0.2	0.23
6BM5A	333	XRAY	1.5	0.15	0.19
3VBHD	58	XRAY	2.3	0.22	0.23
4K35A	771	XRAY	2	0.14	0.18
4TZ1A	549	XRAY	1.5	0.1	0.12
3ZFIA	104	XRAY	1.98	0.19	0.23
5H5YA	326	XRAY	2.3	0.22	0.26
1IZ0A	302	XRAY	2.3	0.22	0.25
2QYUA	627	XRAY	2.1	0.21	0.25
1JHSA	188	XRAY	1.9	0.21	0.25
3EDNA	299	XRAY	1.5	0.18	0.22
4OWTA	466	XRAY	2	0.17	0.2
4FD0A	404	XRAY	2.07	0.18	0.2
3G6IA	204	XRAY	1.93	0.2	0.22
4G6VB	111	XRAY	2.64	0.21	0.24
3CZBA	351	XRAY	2.5	0.2	0.25
3BW8A	217	XRAY	1.8	0.2	0.23
4ZV2A	233	XRAY	1.43	0.18	0.2
2ACTA	220	XRAY	1.7	0.17	1
4ESEA	204	XRAY	1.45	0.17	0.2
1MHMB	72	XRAY	2.3	0.22	0.28
3PAJA	320	XRAY	2	0.18	0.22
4WBTA	376	XRAY	1.6	0.15	0.16
3RHIA	93	XRAY	2.48	0.23	0.29
1LQVA	193	XRAY	1.6	0.19	0.22
1ZV1A	65	XRAY	1.6	0.21	0.26
3VFIA	104	XRAY	1.75	0.2	0.23
4BXMA	157	XRAY	2.15	0.17	0.21
5SZDA	83	XRAY	1.49	0.14	0.17
2UZ1A	563	XRAY	1.65	0.17	0.19
4P96A	279	XRAY	2.2	0.18	0.2
4TW3A	223	XRAY	1.6	0.18	0.19
2WDQB	238	XRAY	2.4	0.17	0.2
3AF5A	651	XRAY	2.6	0.2	0.24
1JVNA	555	XRAY	2.1	0.22	0.24
7PCYA	98	XRAY	1.8	0.12	1
2WBFX	265	XRAY	1.6	0.15	0.18
4CI9A	455	XRAY	1.58	0.17	0.19
1M5SA	297	XRAY	1.85	0.2	0.25
4O3MA	659	XRAY	2.3	0.18	0.21
4HBSA	416	XRAY	2.8	0.19	0.21
5UE1A	234	XRAY	1.14	0.13	0.16
3BTNA	448	XRAY	2.05	0.2	0.24
2YJPA	291	XRAY	2.26	0.19	0.23
2HDOA	209	XRAY	1.5	0.18	0.21
6FC3B	52	XRAY	1.75	0.18	0.22
1ZEIA	53	XRAY	1.9	0.18	0.23
4O5JA	461	XRAY	2.2	0.14	0.16
1W0DA	337	XRAY	1.65	0.21	0.24
2A08A	60	XRAY	1.54	0.17	0.21
5LB3B	445	XRAY	1.8	0.2	0.23
3Q5YA	240	XRAY	1.9	0.18	0.22
2V2KA	105	XRAY	1.6	0.17	0.2
5LT9A	290	XRAY	3	0.22	0.25
3R7WA	307	XRAY	2.77	0.24	0.28
5TUKA	408	XRAY	1.85	0.17	0.2
3IR3A	148	XRAY	1.99	0.17	0.2
1UAYA	242	XRAY	1.4	0.18	0.2
3BZYA	54	XRAY	1.2	0.14	0.18
4EAXA	120	XRAY	2.3	0.22	0.26
3MHSE	96	XRAY	1.89	0.16	0.21
5I0YA	160	XRAY	1.4	0.19	0.21
1VLUA	468	XRAY	2.29	0.21	0.25
1DTDB	61	XRAY	1.65	0.19	0.23
5UZXA	245	XRAY	1.5	0.17	0.2
6DWDA	550	XRAY	1.7	0.18	0.2
1AOAA	275	XRAY	2.4	0.19	0.28
4PT4A	99	XRAY	2.04	0.19	0.25
1EHIA	377	XRAY	2.38	0.18	0.26
2WM3A	299	XRAY	1.85	0.17	0.2
5CZDB	85	XRAY	2.34	0.2	0.27
2ZYJA	397	XRAY	1.67	0.2	0.25
5FIRA	636	XRAY	2.84	0.19	0.24
4FZQA	79	XRAY	2.5	0.26	0.28
3LMZA	257	XRAY	1.44	0.15	0.18
2Z1AA	552	XRAY	1.75	0.18	0.21
4Z19A	316	XRAY	1.8	0.15	0.18
4I1DA	324	XRAY	2.2	0.17	0.21
1RJDA	334	XRAY	1.8	0.18	0.21
5J7XA	549	XRAY	1.9	0.16	0.2
2GRRB	170	XRAY	1.3	0.2	0.22
1KDGA	546	XRAY	1.5	0.14	0.17
4RR5A	293	XRAY	2.43	0.19	0.26
3CGBA	480	XRAY	1.9	0.2	0.23
3NWPA	233	XRAY	1.4	0.17	0.19
5NOHA	103	XRAY	1.8	0.17	0.21
5M0TA	294	XRAY	2.2	0.22	0.24
2VNFA	60	XRAY	1.76	0.16	0.23
2PG3A	232	XRAY	2.4	0.19	0.22
1O6DA	163	XRAY	1.66	0.23	0.26
4U4EA	383	XRAY	2.2	0.17	0.22
4ID0A	214	XRAY	1.1	0.16	0.17
4ZXHA	1320	XRAY	2.7	0.18	0.23
1WLGA	299	XRAY	1.8	0.19	0.24
1IN0A	163	XRAY	2.14	0.19	1
4DXEG	101	XRAY	2.51	0.2	0.25
2XEMA	150	XRAY	2.1	0.16	0.19
5DYNA	130	XRAY	2.48	0.18	0.22
2D37A	176	XRAY	1.7	0.18	0.2
2UUQA	414	XRAY	1.46	0.2	0.23
6BMSA	341	XRAY	2.44	0.23	0.26
2GJ2A	85	XRAY	2.35	0.23	0.28
1NW1A	429	XRAY	2.02	0.21	0.23
5HMLA	272	XRAY	1.48	0.14	0.2
4FIDA	340	XRAY	2.62	0.19	0.26
5HBPA	127	XRAY	1.5	0.17	0.18
2VA1A	256	XRAY	2.5	0.23	0.28
3CQNA	185	XRAY	2	0.2	0.27
2O0AA	298	XRAY	1.6	0.21	0.26
4XUYA	302	XRAY	2	0.14	0.2
1AU1A	166	XRAY	2.2	0.22	0.28
2YFRA	571	XRAY	1.75	0.15	0.17
4C92E	93	XRAY	2.3	0.21	0.26
2FB5A	205	XRAY	1.99	0.18	0.21
2PAJA	492	XRAY	2.7	0.23	0.29
1CR1A	296	XRAY	2.3	0.24	0.29
2ZNRA	178	XRAY	1.2	0.15	0.17
3X0TA	119	XRAY	1.17	0.13	0.17
4LWOA	368	XRAY	2.2	0.2	0.25
4RI6A	215	XRAY	1.52	0.15	0.18
1UADC	99	XRAY	2.1	0.22	0.25
4LOXA	302	XRAY	1.98	0.19	0.28
3I1JA	247	XRAY	1.9	0.17	0.22
1YNYA	461	XRAY	2.3	0.2	0.24
3DSSA	331	XRAY	1.8	0.15	0.19
1VHUA	211	XRAY	1.34	0.15	0.18
1JMOA	480	XRAY	2.2	0.2	0.21
1BJJA	122	XRAY	2.8	0.19	0.26
4MDPA	499	XRAY	2.05	0.17	0.21
4GPVA	348	XRAY	1.67	0.16	0.19
1NSJA	205	XRAY	2	0.19	0.24
2P0KA	212	XRAY	1.75	0.17	0.2
4EF0A	123	XRAY	1.5	0.18	0.19
3IWFA	107	XRAY	1.4	0.18	0.2
3KKCA	177	XRAY	2.5	0.21	0.28
3TPMB	120	XRAY	2.1	0.17	0.21
4GIOA	107	XRAY	1.9	0.2	0.24
2V62A	345	XRAY	1.7	0.2	0.24
1XS0A	136	XRAY	1.58	0.23	0.26
2VCLA	233	XRAY	1.55	0.17	0.19
5TIAA	380	XRAY	2.44	0.17	0.23
2CK2A	96	XRAY	2	0.2	0.27
1FN9A	365	XRAY	1.8	0.17	0.2
1GL2C	65	XRAY	1.9	0.18	0.22
3DWBA	670	XRAY	2.38	0.27	0.34
2DPMA	284	XRAY	1.8	0.24	0.28
3VLAA	413	XRAY	0.95	0.13	0.15
1S2WA	295	XRAY	1.69	0.18	0.21
2AJ4A	548	XRAY	2.4	0.17	0.2
4WSZA	68	XRAY	1.77	0.17	0.21
5VA4A	141	XRAY	2.31	0.24	0.29
3TAWA	356	XRAY	1.7	0.15	0.17
4G3VA	172	XRAY	1.7	0.17	0.21
4PXJA	61	XRAY	2.06	0.18	0.2
1NVPD	108	XRAY	2.1	0.23	0.25
2G3FA	421	XRAY	2	0.19	0.22
3TC8A	309	XRAY	1.06	0.11	0.13
1ZB9A	143	XRAY	1.8	0.2	0.21
3D1KB	146	XRAY	1.25	0.17	0.2
3FOKA	307	XRAY	2.5	0.23	0.25
4ZBWA	190	XRAY	2.2	0.21	0.25
3BT5A	177	XRAY	1.35	0.16	0.19
4RLQA	519	XRAY	1.63	0.16	0.19
3FH9A	141	XRAY	1.62	0.21	0.26
2V9KA	530	XRAY	2	0.19	0.23
3G2FA	336	XRAY	2.35	0.21	0.25
3K86A	185	XRAY	2	0.15	0.18
4IUJA	464	XRAY	1.9	0.17	0.2
4KVGB	260	XRAY	1.65	0.2	0.22
4XT0A	246	XRAY	2.07	0.16	0.21
3V42A	226	XRAY	2	0.21	0.27
2DKKA	411	XRAY	1.97	0.24	0.28
4GDOA	43	XRAY	1.7	0.21	0.25
3WEUA	726	XRAY	1.93	0.14	0.18
2GU1A	361	XRAY	1.9	0.23	0.26
